,,,"Scarborough--Guildwood [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   82980,,   39530,,   43445,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   77890,,   37150,,   40745,,10556935,, 5115460,, 5441475,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   24167,,   26251,,   22609,,   33539,,   39889,,   28676,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   77905,,   37155,,   40750,,10559805,, 5115825,, 5443975,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   23129,,   24967,,   21865,,   30641,,   35753,,   26585,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,   62680,,   31205,,   31480,, 9391800,, 4650130,, 4741675,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   24743,,   28345,,   21632,,   32871,,   39831,,   27012,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   61735,,   27620,,   34115,, 7632575,, 3402810,, 4229770,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    4118,,    1567,,    6781,,    4206,,    2034,,    5463,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   52055,,   26845,,   25210,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   26541,,   28955,,   24322,,   33946,,   39490,,   29413,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   83080,,   39645,,   43440,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   78055,,   37280,,   40770,,10556925,, 5114340,, 5442580,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   33282,,   35973,,   30822,,   47915,,   56780,,   39585,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   78055,,   37280,,   40775,,10559935,, 5114725,, 5445210,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   29118,,   31004,,   27393,,   39318,,   45443,,   33564,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,   62925,,   31300,,   31625,, 9391645,, 4649230,, 4742415,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   33745,,   37341,,   30186,,   47890,,   57511,,   38459,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   61880,,   27680,,   34200,, 7632220,, 3402745,, 4229475,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7666,,    6230,,    8828,,    7346,,    6763,,    7815,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   52090,,   26820,,   25275,, 7790680,, 3995700,, 3794985,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   34669,,   37238,,   31943,,   47369,,   55263,,   39057,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   83080,,   39640,,   43440,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   21190,,   11765,,    9420,, 3737385,, 2082480,, 1654900,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   46897,,   48535,,   44903,,   55121,,   60345,,   49713,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   53906,,   56446,,   50735,,   68628,,   76536,,   58676,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     82.0,,     87.4,,     76.2,,     88.9,,     92.1,,     84.7,
"Income of individuals in 2015","    Employment income (%)",29,     70.0,,     75.2,,     64.3,,     72.9,,     76.0,,     68.7,
"Income of individuals in 2015","  Government transfers (%)",30,     18.0,,     12.6,,     23.8,,     11.1,,      7.9,,     15.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   82980,,   39530,,   43450,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without total income",,    5090,,    2380,,    2705,,  481500,,  227390,,  254115,
"Income of individuals in 2015","  With total income",,   77890,,   37150,,   40740,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     93.9,,     94.0,,     93.8,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   16270,,    7925,,    8345,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",,   17180,,    7155,,   10030,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",,   11930,,    5250,,    6680,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",,    8720,,    4030,,    4695,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",,    7025,,    3395,,    3625,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",,    5010,,    2545,,    2465,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",,    3410,,    1905,,    1505,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",,    2495,,    1455,,    1045,,  479890,,  277725,,  202165,
"Income of individuals in 2015","    $80;000 to $89;999",,    1730,,    1020,,     715,,  378185,,  222095,,  156095,
"Income of individuals in 2015","    $90;000 to $99;999",,    1370,,     740,,     630,,  324810,,  181815,,  142995,
"Income of individuals in 2015","    $100;000 and over",,    2745,,    1735,,    1010,,  909005,,  616420,,  292585,
"Income of individuals in 2015","      $100;000 to $149;999",,    2065,,    1260,,     800,,  600995,,  394410,,  206590,
"Income of individuals in 2015","      $150;000 and over",,     685,,     465,,     210,,  308010,,  222010,,   86000,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   82980,,   39535,,   43450,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without after-tax income",,    5075,,    2380,,    2700,,  478635,,  227025,,  251610,
"Income of individuals in 2015","  With after-tax income",,   77900,,   37155,,   40745,,10559805,, 5115825,, 5443980,
"Income of individuals in 2015","  Percentage with after-tax income",,     93.9,,     94.0,,     93.8,,     95.7,,     95.8,,     95.6,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   16430,,    7970,,    8460,, 1659280,,  722040,,  937235,
"Income of individuals in 2015","    $10;000 to $19;999",,   17755,,    7420,,   10335,, 1906875,,  777330,, 1129540,
"Income of individuals in 2015","    $20;000 to $29;999",,   13445,,    6045,,    7400,, 1623230,,  690290,,  932940,
"Income of individuals in 2015","    $30;000 to $39;999",,   10080,,    4750,,    5330,, 1377100,,  642645,,  734450,
"Income of individuals in 2015","    $40;000 to $49;999",,    7610,,    3730,,    3885,, 1166040,,  585490,,  580555,
"Income of individuals in 2015","    $50;000 to $59;999",,    4795,,    2640,,    2150,,  845305,,  464610,,  380700,
"Income of individuals in 2015","    $60;000 to $69;999",,    3025,,    1750,,    1275,,  604005,,  354015,,  249985,
"Income of individuals in 2015","    $70;000 to $79;999",,    1915,,    1085,,     835,,  465485,,  268140,,  197345,
"Income of individuals in 2015","    $80;000 and over",,    2840,,    1770,,    1075,,  912490,,  611260,,  301230,
"Income of individuals in 2015","      $80;000 to $89;999",,    1195,,     665,,     530,,  299315,,  183410,,  115905,
"Income of individuals in 2015","      $90;000 to $99;999",,     575,,     375,,     195,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",,    1075,,     725,,     345,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   82980,,   39535,,   43450,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",,   30925,,   12685,,   18235,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,   52055,,   26845,,   25210,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     62.7,,     67.9,,     58.0,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",,    8225,,    4045,,    4180,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",,    5095,,    2375,,    2720,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",,    8150,,    4050,,    4100,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",,    6800,,    3285,,    3520,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",,    5870,,    3025,,    2845,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",,    5015,,    2560,,    2455,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",,    3740,,    1985,,    1755,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",,    2590,,    1530,,    1060,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,    1900,,    1140,,     760,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",,    4670,,    2850,,    1820,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,    1360,,     805,,     550,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,    1180,,     645,,     535,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",,    2130,,    1400,,     730,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   35885,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   57694,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   52931,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,    8505,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   27200,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   25533,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   27380,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   68824,,,...,,...,   90967,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   62931,,,...,,...,   79528,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   35935,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   72289,,,...,,...,   97856,,,...,,...
