,,,"Scarborough--Rouge Park [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   85155,,   40620,,   44525,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   80420,,   38255,,   42165,,10556935,, 5115460,, 5441475,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   29409,,   32609,,   26914,,   33539,,   39889,,   28676,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   80435,,   38255,,   42180,,10559805,, 5115825,, 5443975,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   27396,,   29937,,   25315,,   30641,,   35753,,   26585,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,   69305,,   33810,,   35490,, 9391800,, 4650130,, 4741675,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   29852,,   33789,,   26154,,   32871,,   39831,,   27012,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   60220,,   26645,,   33575,, 7632575,, 3402810,, 4229770,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    3283,,    1500,,    4969,,    4206,,    2034,,    5463,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   58250,,   29055,,   29200,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   31999,,   34973,,   29261,,   33946,,   39490,,   29413,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   85060,,   40495,,   44565,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   80270,,   38165,,   42100,,10556925,, 5114340,, 5442580,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   39708,,   43732,,   36059,,   47915,,   56780,,   39585,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   80270,,   38165,,   42105,,10559935,, 5114725,, 5445210,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   33806,,   36587,,   31285,,   39318,,   45443,,   33564,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,   69170,,   33675,,   35500,, 9391645,, 4649230,, 4742415,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   39953,,   44706,,   35445,,   47890,,   57511,,   38459,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   60130,,   26720,,   33410,, 7632220,, 3402745,, 4229475,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7044,,    6122,,    7781,,    7346,,    6763,,    7815,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   58230,,   28985,,   29245,, 7790680,, 3995700,, 3794985,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   40825,,   44620,,   37064,,   47369,,   55263,,   39057,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   85060,,   40500,,   44560,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   26300,,   14095,,   12210,, 3737385,, 2082480,, 1654900,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   51680,,   53786,,   49688,,   55121,,   60345,,   49713,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   59593,,   62326,,   56438,,   68628,,   76536,,   58676,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     86.7,,     90.3,,     82.7,,     88.9,,     92.1,,     84.7,
"Income of individuals in 2015","    Employment income (%)",29,     74.5,,     77.6,,     71.1,,     72.9,,     76.0,,     68.7,
"Income of individuals in 2015","  Government transfers (%)",30,     13.3,,      9.7,,     17.3,,     11.1,,      7.9,,     15.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   85155,,   40620,,   44525,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without total income",,    4735,,    2370,,    2365,,  481500,,  227390,,  254115,
"Income of individuals in 2015","  With total income",,   80415,,   38255,,   42165,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     94.4,,     94.2,,     94.7,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   14655,,    6830,,    7825,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",,   15480,,    6625,,    8855,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",,   10585,,    4575,,    6015,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",,    8645,,    4005,,    4640,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",,    7850,,    3745,,    4105,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",,    6255,,    3010,,    3245,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",,    4430,,    2270,,    2160,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",,    3280,,    1800,,    1480,,  479890,,  277725,,  202165,
